u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,service,ref,est_width,access
40440325,40458163,0,112641954,,Southeast 47th Avenue,residential,20 mph,False,13.065,"LINESTRING (-122.614577 45.4745429, -122.6145771 45.4744254)",,,,
40440325,40440330,0,5516109,,,footway,,False,88.991,"LINESTRING (-122.614577 45.4745429, -122.614514 45.4745346, -122.613537 45.47453, -122.6134498 45.4744954)",,,,
40440330,40621460,0,419801591,,Southeast 48th Avenue,residential,20 mph,False,8.518,"LINESTRING (-122.6134498 45.4744954, -122.6134503 45.4744188)",,,,
40440330,7463540848,0,419801591,,Southeast 48th Avenue,residential,20 mph,False,75.146,"LINESTRING (-122.6134498 45.4744954, -122.6134453 45.4751712)",,,,
40440330,40440325,0,5516109,,,footway,,False,88.991,"LINESTRING (-122.6134498 45.4744954, -122.613537 45.47453, -122.614514 45.4745346, -122.614577 45.4745429)",,,,
40448068,1564301747,0,112635177,,Southeast Lambert Street,residential,20 mph,False,37.053,"LINESTRING (-122.5861136 45.466857, -122.5856385 45.466861)",,,,
40448068,40439158,0,"[420390976, 5516530]",,Southeast 75th Place,residential,20 mph,False,197.64999999999998,"LINESTRING (-122.5861136 45.466857, -122.5861164 45.465932, -122.586135 45.4650796)",,,,
40448068,40469959,0,131619815,,Southeast Lambert Street,residential,,False,47.96,"LINESTRING (-122.5861136 45.466857, -122.586625 45.466857, -122.586725 45.466838)",,,,
40448076,40455754,0,5530218,,Southeast Harney Street,residential,20 mph,False,103.413,"LINESTRING (-122.5861708 45.4632846, -122.5848448 45.4632835)",,,,
40448076,454338946,0,5530218,,Southeast Harney Street,residential,20 mph,False,53.555,"LINESTRING (-122.5861708 45.4632846, -122.5868575 45.4632839)",,,,
40448076,40448089,0,112635169,,Southeast 75th Place,residential,,False,184.681,"LINESTRING (-122.5861708 45.4632846, -122.5861484 45.4616238)",,,,
40448076,40439158,0,112635201,,Southeast 75th Place,residential,20 mph,False,199.709,"LINESTRING (-122.5861708 45.4632846, -122.5861562 45.4647117, -122.5861293 45.4649004, -122.586135 45.4650796)",,,,
40448089,40448076,0,112635169,,Southeast 75th Place,residential,,False,184.681,"LINESTRING (-122.5861484 45.4616238, -122.5861708 45.4632846)",,,,
40453405,40520828,0,189288800,2,Southeast Duke Street,tertiary,25 mph,False,49.8,"LINESTRING (-122.5880733 45.4758809, -122.5874346 45.4758825)",,,,
40453405,7987339064,0,189288800,2,Southeast Duke Street,tertiary,25 mph,False,68.147,"LINESTRING (-122.5880733 45.4758809, -122.5889473 45.4758835)",,,,
